cik,latest_revenue,latest_filing_date,latest_form,num_10k,num_10q
796343,21505000000,2025-01-13,10-K,9,26
4904,15025000000,2024-11-06,10-Q,8,24
899051,47600000000,2024-10-30,10-Q,9,27
915913,4145813000,2024-11-06,10-Q,12,36
91142,2905700000,2024-10-23,10-Q,12,36
1579241,2826600000,2024-10-24,10-Q,9,29
820027,13277000000,2024-11-01,10-Q,7,21
789019,36148000000,2024-10-30,10-Q,6,19
1013462,1662635000,2024-11-06,10-Q,11,36
820313,3848300000,2024-10-25,10-Q,12,39
1002910,5682000000,2024-11-07,10-Q,12,37
1748790,12467500000,2024-11-01,10-Q,6,17
4962,27819000000,2024-10-18,10-Q,7,22
1559720,8622000000,2024-11-07,10-Q,4,12
1410636,1480199000,2024-10-30,10-Q,11,36
1035443,0,2024-10-21,10-Q,6,19
1037868,5179578000,2024-10-31,10-Q,9,30
1086222,668724000,2024-11-08,10-Q,7,24
318154,12427000000,2024-10-31,10-Q,8,25
320193,265595000000,2024-11-01,10-K,11,32
874761,9316000000,2024-10-31,10-Q,13,42
352541,4027000000,2024-11-01,10-Q,12,38
1053507,7579600000,2024-10-29,10-Q,9,29
4977,13524000000,2024-11-01,10-Q,10,32
764180,18044000000,2024-10-31,10-Q,12,36
1652044,257637000000,2024-10-30,10-Q,3,11
1551152,41232000000,2024-11-04,10-Q,9,29
2969,12100600000,2024-11-21,10-K,11,30
1097149,350836000,2024-11-05,10-Q,12,38
5272,20074000000,2024-11-07,10-Q,5,17
66740,18565000000,2024-10-22,10-Q,8,24
6281,6200942000,2024-11-26,10-K,8,23
1090872,4472000000,2024-12-20,10-K,11,30
1467373,17689545000,2024-12-19,10-Q,4,11
1800,30976000000,2024-10-31,10-Q,7,24
2488,3913000000,2024-10-30,10-Q,9,28
1018724,450167000000,2024-11-01,10-Q,6,21
